,0
para0s0,"Goethe, the connoisseur and exponent of the Greek spirit, received benevolently the lovingly presented beginning of a collection of writings and essays, which are destined to enlighten now and then the vast edifice of knowledge in which that life-improving spirit originally dwelt."
para1s0,"Who among the Germans could be thought of more for an undertaking of this kind than the one in whose works and designs, in the midst of daunting modern surroundings, that benevolent spirit took a second home?"
para1s1,"We would remember him before anyone else if one of the editors had not earlier received his friendly call to new, changed activity, a call that promised even the less accomplished indulgent applause from like-minded readers."
para2s0,"But not to assure themselves of a favoring genius of our literature , the entrepreneurs of this magazine wanted to decorate their first sheet with His name."
para2s1,This public adornment would not have been necessary.
para2s2,"On such a good occasion, they wanted to tell the educable youth of the fatherland with how heartfelt feeling the one is to be honored who has long since answered the tossed question, to which goal the studies of antiquity lead, more adequately and more beautifully than the best discussion could ever do."
para2s3,"For from where could such elevation above the narrow circles and stomping grounds of ordinary contemporary life, from where could such views of the world and art and science be gained, than from the inner sanctum of the ancient arts of the Muses, which finally once again opened up in a naturally kindred mind?"
para2s4,"To learn to recognize a hypophet of this merit, who not only interpreted the sayings and ideas of the silenced oracles, but himself brought forth much worthy of interpretation, and to fathom his often hidden meaning, this alone would be worthy of creation from the eternal original sources of beauty."
para3s0,"May your word and reputation, most worthy of our nobles, help us henceforth to resist vigorously that the palladium of this knowledge is not snatched away from the fatherland by unholy hands; as we then have well-founded hope to preserve in it an inheritance for our descendants that cannot be lost."
para3s1,"Wherever the reason may be sought, in the nature of our language, or in the kinship of one of our original tribes with the Hellenic, or wherever else: we Germans, after so many modifications, agree most willingly among the moderns to the ways of Greek song and speech; we least of all recoil from the alienations with which those heroes impede the entrance of others; we alone disdain more and more to embellish the simple dignity of their works, to want to master their famous indecencies."
para3s2,"But who already felt so much of the divine breath at home, the serious thought becomes easier to enter into the whole cult of the inspiring gods."
para4s0,Only let us no less prevent that to these orgies not the motley people crowd without preparation and devotion to stagger around with the staff of enthusiasm.
para4s1,"We gladly welcome many who seek amusement and refreshment in our circles after the seriousness of more severe sciences or the aridity of merely acquisitive ones; likewise those who announce themselves as eager lovers of everything beautiful; even if some of the actual comrades do not exactly embrace the highest of science according to the richest points of view, and content themselves with one and another part as diligent workers, nevertheless caught in the delusion to really love what he only does as his day's work: but let each one of them ennoble his effort and even his toy by sensible treatment and by the d bhirection according to the recognized best purposes."
para4s2,"Thus the German, without despising the assiduity of the merely learned collector, without rejecting the mere lover of general education, becomes and remains everywhere the deeper researcher and interpreter of the great and beautiful flowing from antiquity; and he uses such treasures to fertilize, under the change of changeable public destinies, the spirit of his nation, whose better ones are by no means unprepared by the study of native works to receive the higher consecration."
para5s0,"May you, connoisseur and performer of the Greek spirit, be for a long time yet an effective protector and satisfied spectator of such useful endeavors! May your beloved Weimar, under its splendid princely house celebrated by all the muses, soon shining again in rejuvenated bloom, continue to awaken new beautiful talents for the rest of Germany! May you never lack strength and undisturbed leisure to illuminate, on the path in which your life itself imitates the gradual course of the Greeks, now this, now another of the most charming arts, and soon also dark rooms of often desecrated sciences!           "
para6s0,The content of this essay should have served for some time as an introduction to a revision or encyclopedic survey of that knowledge which is usually called philological.
para6s1,"Between the years 1783 and 1790, when the author began to teach at a then famous seat of German scholarship, he felt himself without respite troubled by the desire to give himself and his audience a more definite account of the general concept, content, connection and main purpose of those studies; about all of which the writings of the most recognized connoisseurs offered little that was satisfactory."
para6s2,"Some of those who casually engaged in such reflections wavered undecidedly about the noblest tendencies of this whole branch of scholarship, like certain members of a secret society, not always novices, questioning each other about the idea and intention of their order; many claimed that the ancient languages were learned for the sake of history and so-called knowledge, whereas most regarded the reading and understanding of writers in the basic languages as the ultimate end, and the most varied occupation with knowledge as a mere means of understanding the writers."
para6s3,"Here and there one heard even the opinion that in general the pursuit of these studies might be best justified by the close connection in which they stood with the entire literature of the moderns, especially with some of our most useful and usable sciences, since, of course, the first rank actually belonged to such knowledge which constituted the foundations of today's social prosperity and all bourgeois happiness : a view that must please many a wise statesman who values every science precisely to the extent that it may contribute to the arts of acquisition in peace and in war, to the improvement of finances, of factories, of trade, of agriculture and domestic economy."
para6s4," Haec studia annonam non reddunt viliorem , someone is said to have said seriously about the language knowledge of antiquity."
para6s5,"The Greeks had an expressive word for such a way of thinking, which we moderns lack, probably because the idea was long foreign to us, αἰσχροκέρδεια."
para6s6, 
para7s0," These and other divergent opinions redoubled the author's zeal to grasp the highest points of view of ancient philology as precisely as possible, and to make an attempt how the individual doctrines, some of which had been expounded at German universities for almost a hundred years, and some of which were still to be worked on subsequently, could be united into an organic whole, in order to raise everything that belongs to a complete knowledge of learned antiquity to the dignity of a well-ordered philosophical-historical science."
para7s1,With this idea he gave several times repeated lectures under the name of a
para8s0,A desirable teaching position gave the author the opportunity for more than twenty years to study both the general overview of the
para9s0,"Berlin, in Jul."
para9s1,1807.
para10s0,"In the realm of sciences, which encompass nature and man according to the most diverse views, we see, in addition to the old, universally known areas, individual districts, although of recent cultivation, quickly elevated to prestige and solid connection with the adjacent ones; others, although only cleared for future work, nevertheless hint at their tendencies and some of their possible scope."
para10s1,"With these new spiritual conquests, the hope of the contribution they promise to the common education delights us in advance, and a liberal estimate, according to such expectations, gladly places them in the ranks of the formerly recognized provinces."
para10s2,"Less fortunate are those parts of our knowledge which, though known by useful yield and learned cultivators, betray fluctuating limits and indefinite scope in their rich materials, in their various modes of treatment, and even in changing names."
para10s3,"In such unfavorable position still stands the sum of knowledge, from which we deal."
para10s4,"They are called philology, classical scholarship, ancient literature, humanistic studies, sometimes with a foreign and quite modern name, beautiful sciences."
para10s5," The latter name is, it seems, less used by the nation itself, which probably brought it into fashion."
para10s6,One hears rather Littérature than Belles lettres.
para10s7,"If, however, a Latin-writing scholar sometimes used it, perhaps even saying litteras bellas, the intention was obviously a joke."
para10s8,"For our circle of knowledge, the designation is not at all suitable : they have anyway sides that attract by everything else rather than by beauté."
para10s9,"Again, by old literature one does not really think of a considerable main part, the art of the ancients; since one usually tends to place literature and art, as different, next to each other."
para10s10,"In another way, the name used in England, classical learning , is too limited: we are dealing here with many writers and knowledge that no one wants to call classical in the old meaning of the word."
para10s11,"Philology further, according to that sense in which the expression first began to be used in Alexandria (Suet."
para10s12,"de Gr. 10) The term ""philology"" coincides most with litterature, and is thus subject to similar concerns; even more so today, when philology is often taken to mean linguistics or linguistics in general."
para10s13,"Finally, the name that one usually hears in our times of humanity, humaniora (in French humanités, in English humanity, in Italian umanità, in Spanish and Portuguese humanidad and humanidades), also this name is from one side too wide, from another too narrow."
para10s14,M.
para10s15,s.
para10s16,a small progr.
para10s17,From J.
para10s18,A.
para10s19,"Ernesti on the word humanitas, or the extract from it in the Clav."
para10s20,Cic.
para10s21,u.
para10s22,d.
para10s23,W.
para10s24,"But it is remarkable that the expressions humaniora studia, humaniores litterae are not found in any ancient Latin writer, and could hardly have been in use, because the comparative contains a hint of a relation that certainly did not occur to the ancients when they said studia humanitatis."
para10s25,"Nevertheless, that designation has become so common that one has several treatises and declamations de litteris humanioribus, by J."
para10s26,G.
para10s27,"Walch, by C."
para10s28,Morning star u.
para10s29,a.
para10s30,"But in none of such writings, if I may say so, is there any evidence of the age and authenticity of the meaning; everyone takes the word as accepted and well brought, without a scruple such as Latin humanists might have had."
para10s31,"The usage seems to date from the Middle Ages ; but it has always remained uncertain to me whether it arose earlier in Italy, or in Scotland, where it had been common for many centuries."
para10s32,"  The diversity of the titles under which this part of scholarship announces itself even has a detrimental effect on the reputation of the knowledge that is otherwise recognized as useful, because of the various claims pointing here and there that lie in the titles."
para10s33,It is even worse when such claims are not only vague but also partly unfounded.
